mb/s  4KB 8KB 16KB  32KB  64KB  128KB 256KB 512KB 1MB
rand_write_disk_fuse  36.7536 49.8988 55.904  56.9307 62.6901 63.1289 65.6175 65.75 65.6566
rand_write_disk_df  75.1367 71.958  74.1732 74.3864 74.1374 74.3519 74.8812 75.721  73.9564
rand_write_disk_native  65.0648 66.1748 66.0684 66.0684 62.3584 66.5365 66.1735 66.2747 66.7493
rand_write_tmpfs_fuse 116.91  226.124 433.669 705.812 1022.17 989.678 1136.03 775.65  854.793
rand_write_tmpfs_df 1638.24 1911.3  2340.24 2549.9  2674.91 2865.32 2857.54 2733.78 2928.15
rand_write_tmpfs_native 1624.36 1867.96 2320.27 2499.28 2478.24 2565.92 2709.27 2878.77 2819.19
