mb/s  4KB 8KB 16KB  32KB  64KB  128KB 256KB 512KB 1MB
rand_read_disk_fuse 4.36458 7.28743 12.0156 18.3906 23.8773 32.0228 42.1693 42.847  71.0745
rand_read_disk_df 4.81022 8.26009 13.2552 20.0905 25.9775 33.9876 46.5329 62.1732 79.4505
rand_read_disk_native 4.94043 8.16439 13.2025 19.3096 24.2383 31.9382 44.2262 44.0407 75.7992
rand_read_tmpfs_fuse  117.495 220.148 383.249 587.165 803.204 829.311 927.881 791.7 823.582
rand_read_tmpfs_df  2205.46 2446.46 2952.32 3134.04 3468.72 3485.43 3478.71 3704.9  3883.13
rand_read_tmpfs_native  1933.38 2444.77 2810.34 3199.39 3297.99 3269.99 3302.17 3685.97 3857.48
