mb/s  4KB 8KB 16KB  32KB  64KB  128KB 256KB 512KB 1MB
seq_write_disk_fuse 38.234  47.1956 56.3203 59.8053 61.3581 61.9189 62.5583 60.2285 61.763
seq_write_disk_df 71.835  70.6156 72.4141 73.2549 71.7025 72.0465 73.6335 73.9535 70.1702
seq_write_disk_native 66.1374 66.2461 67.708  70.4964 66.7253 69.1286 67.9548 68.5973 66.5726
seq_write_tmpfs_fuse  99.9805 219.454 362.296 574.876 729.298 552.553 549.492 539.44  538.283
seq_write_tmpfs_df  1492.58 1715.37 1877.23 1932.95 1927.44 2075.97 2003.53 2038.73 2043.18
seq_write_tmpfs_native  1583.59 1609.74 1748.15 1837.39 1867.4  1932.44 1930.5  1949.37 1947.37
